nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
107337 ,0.260 ,2.681 ,1.600 ,0.559 
107338 ,2.308 ,2.682 ,1.600 ,0.589 
107339 ,5.421 ,2.683 ,1.600 ,0.607 
107340 ,2.035 ,2.683 ,1.600 ,0.598 
107341 ,0.456 ,2.683 ,1.600 ,0.556 
107342 ,-1.482 ,2.683 ,1.600 ,0.530 
107343 ,5.360 ,2.683 ,1.600 ,0.606 
107344 ,1.607 ,2.684 ,1.600 ,0.590 
107345 ,3.941 ,2.684 ,1.600 ,0.627 
107346 ,-5.594 ,2.684 ,1.600 ,0.487 
107347 ,-2.465 ,2.685 ,1.600 ,0.531 
107348 ,2.737 ,2.685 ,1.600 ,0.588 
107349 ,2.731 ,2.685 ,1.600 ,0.588 
107350 ,-0.119 ,2.685 ,1.600 ,0.566 
107351 ,4.756 ,2.686 ,1.600 ,0.600 
107352 ,2.277 ,2.686 ,1.600 ,0.591 
107353 ,2.539 ,2.687 ,1.600 ,0.587 
107354 ,3.632 ,2.687 ,1.600 ,0.620 
107355 ,1.932 ,2.688 ,1.600 ,0.598 
107356 ,0.129 ,2.688 ,1.600 ,0.564 
107357 ,1.805 ,2.688 ,1.600 ,0.597 
107358 ,0.051 ,2.689 ,1.600 ,0.566 
107359 ,-4.859 ,2.689 ,1.600 ,0.503 
107360 ,3.788 ,2.689 ,1.600 ,0.625 
107361 ,1.906 ,2.691 ,1.600 ,0.599 
107362 ,3.926 ,2.691 ,1.600 ,0.626 
107363 ,-1.982 ,2.691 ,1.600 ,0.540 
107364 ,-5.628 ,2.692 ,1.600 ,0.488 
107365 ,-2.014 ,2.694 ,1.600 ,0.541 
107366 ,2.053 ,2.694 ,1.600 ,0.598 
107367 ,4.584 ,2.694 ,1.600 ,0.601 
107368 ,4.015 ,2.695 ,1.600 ,0.625 
107369 ,4.835 ,2.696 ,1.600 ,0.600 
107370 ,-2.061 ,2.696 ,1.600 ,0.541 
107371 ,5.404 ,2.696 ,1.600 ,0.606 
107372 ,3.941 ,2.696 ,1.600 ,0.626 
107373 ,-1.372 ,2.699 ,1.600 ,0.532 
107374 ,7.287 ,2.701 ,1.600 ,0.625 
107375 ,0.215 ,2.701 ,1.600 ,0.562 
107376 ,-1.838 ,2.701 ,1.600 ,0.538 
107377 ,-3.600 ,2.701 ,1.600 ,0.512 
107378 ,-5.309 ,2.702 ,1.600 ,0.495 
107379 ,-5.309 ,2.702 ,1.600 ,0.495 
107380 ,0.949 ,2.702 ,1.600 ,0.564 
107381 ,-4.646 ,2.702 ,1.600 ,0.510 
107382 ,2.730 ,2.703 ,1.600 ,0.588 
107383 ,2.032 ,2.704 ,1.600 ,0.598 
107384 ,-2.405 ,2.704 ,1.600 ,0.535 
107385 ,3.881 ,2.704 ,1.600 ,0.625 
107386 ,-1.735 ,2.705 ,1.600 ,0.536 
