nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
211,-432.350 ,-190.587 ,1.600 ,1.474 
212,-485.000 ,-190.000 ,1.600 ,1.496 
213,-342.390 ,-189.926 ,1.600 ,1.492 
214,-360.229 ,-188.670 ,1.600 ,1.497 
215,-350.529 ,-188.550 ,1.600 ,1.496 
216,-306.094 ,-188.151 ,1.600 ,1.494 
217,-184.319 ,-187.906 ,1.600 ,1.527 
218,-369.227 ,-187.813 ,1.600 ,1.499 
219,-256.286 ,-187.689 ,1.600 ,1.498 
220,-160.000 ,-187.500 ,1.600 ,1.547 
221,97.816 ,-187.500 ,1.600 ,1.553 
222,-42.427 ,-187.365 ,1.600 ,1.580 
223,-379.137 ,-187.265 ,1.600 ,1.497 
224,-422.255 ,-186.928 ,1.600 ,1.481 
225,-412.929 ,-186.854 ,1.600 ,1.485 
226,-80.469 ,-186.150 ,1.600 ,1.576 
227,-68.695 ,-186.053 ,1.600 ,1.573 
228,-97.595 ,-185.848 ,1.600 ,1.573 
229,-316.476 ,-185.809 ,1.600 ,1.495 
230,28.746 ,-185.519 ,1.600 ,1.566 
231,176.656 ,-185.514 ,1.600 ,1.476 
232,-440.946 ,-185.473 ,1.600 ,1.483 
233,-474.306 ,-184.579 ,1.600 ,1.486 
234,-335.278 ,-184.484 ,1.600 ,1.493 
235,238.299 ,-184.474 ,1.600 ,1.503 
236,229.072 ,-184.200 ,1.600 ,1.487 
237,-325.505 ,-183.546 ,1.600 ,1.496 
238,-207.677 ,-183.129 ,1.600 ,1.511 
239,-254.720 ,-167.883 ,1.600 ,1.458 
240,-290.885 ,-182.263 ,1.600 ,1.507 
241,-363.855 ,-181.465 ,1.600 ,1.505 
242,-346.002 ,-181.166 ,1.600 ,1.494 
243,-231.250 ,-181.025 ,1.600 ,1.484 
244,-144.844 ,-180.342 ,1.600 ,1.552 
245,-485.000 ,-180.000 ,1.600 ,1.505 
246,-355.645 ,-179.918 ,1.600 ,1.497 
247,-433.671 ,-179.495 ,1.600 ,1.488 
248,-371.866 ,-179.267 ,1.600 ,1.500 
249,-463.611 ,-179.158 ,1.600 ,1.486 
250,-48.220 ,-179.024 ,1.600 ,1.584 
251,53.542 ,-178.814 ,1.600 ,1.564 
252,74.544 ,-178.710 ,1.600 ,1.576 
253,114.713 ,-178.328 ,1.600 ,1.554 
254,-414.876 ,-178.157 ,1.600 ,1.490 
255,-383.134 ,-178.144 ,1.600 ,1.492 
256,-443.668 ,-177.885 ,1.600 ,1.486 
257,-310.416 ,-177.739 ,1.600 ,1.493 
258,-240.160 ,-177.541 ,1.600 ,1.478 
259,-165.895 ,-177.341 ,1.600 ,1.529 
260,84.442 ,-177.083 ,1.600 ,1.577 
261,-3.083 ,-176.619 ,1.600 ,1.565 
262,-76.221 ,-175.926 ,1.600 ,1.572 
263,-319.929 ,-175.905 ,1.600 ,1.488 
264,-394.382 ,-174.961 ,1.600 ,1.486 
265,-474.306 ,-174.579 ,1.600 ,1.489 
266,-423.968 ,-174.491 ,1.600 ,1.488 
267,-330.095 ,-174.435 ,1.600 ,1.480 
268,-56.331 ,-174.119 ,1.600 ,1.579 
269,-454.635 ,-173.720 ,1.600 ,1.483 
270,-340.569 ,-172.897 ,1.600 ,1.473 
271,-363.015 ,-172.392 ,1.600 ,1.479 
272,-439.519 ,-172.168 ,1.600 ,1.483 
273,-6.553 ,-171.673 ,1.600 ,1.562 
274,-293.698 ,-171.389 ,1.600 ,1.478 
275,-374.549 ,-171.226 ,1.600 ,1.478 
276,-351.602 ,-171.224 ,1.600 ,1.467 
277,0.267 ,-171.017 ,1.600 ,1.562 
278,98.696 ,-170.139 ,1.600 ,1.586 
279,-485.000 ,-170.000 ,1.600 ,1.503 
280,108.880 ,-169.747 ,1.600 ,1.574 
281,217.986 ,-169.444 ,1.600 ,1.466 
282,119.391 ,-169.271 ,1.600 ,1.550 
283,-405.270 ,-169.219 ,1.600 ,1.481 
284,-433.144 ,-169.171 ,1.600 ,1.481 
285,-312.963 ,-168.975 ,1.600 ,1.465 
286,41.497 ,-168.547 ,1.600 ,1.573 
287,90.101 ,-168.403 ,1.600 ,1.594 
288,-465.499 ,-168.347 ,1.600 ,1.479 
289,-416.042 ,-167.801 ,1.600 ,1.479 
290,21.682 ,-167.227 ,1.600 ,1.572 
291,-162.677 ,-167.029 ,1.600 ,1.522 
292,227.829 ,-167.012 ,1.600 ,1.477 
293,-323.767 ,-165.985 ,1.600 ,1.455 
294,13.508 ,-165.628 ,1.600 ,1.573 
295,-440.240 ,-165.352 ,1.600 ,1.479 
296,-334.629 ,-164.738 ,1.600 ,1.455 
297,-394.283 ,-164.213 ,1.600 ,1.475 
298,-367.239 ,-164.150 ,1.600 ,1.464 
299,-425.736 ,-164.092 ,1.600 ,1.476 
300,-223.741 ,-163.968 ,1.600 ,1.478 
301,-475.521 ,-163.779 ,1.600 ,1.476 
302,186.893 ,-163.178 ,1.600 ,1.451 
303,-344.904 ,-162.981 ,1.600 ,1.451 
304,-456.642 ,-162.978 ,1.600 ,1.476 
305,55.281 ,-162.706 ,1.600 ,1.595 
306,-375.734 ,-162.014 ,1.600 ,1.465 
307,131.283 ,-161.988 ,1.600 ,1.534 
308,-357.223 ,-161.065 ,1.600 ,1.455 
309,-289.912 ,-160.979 ,1.600 ,1.445 
310,-409.596 ,-160.934 ,1.600 ,1.464 
311,94.426 ,-160.800 ,1.600 ,1.625 
312,-485.000 ,-160.000 ,1.600 ,1.489 
313,245.000 ,-160.000 ,1.600 ,1.544 
314,-198.550 ,-159.681 ,1.600 ,1.484 
315,-87.571 ,-159.498 ,1.600 ,1.566 
316,-435.663 ,-159.265 ,1.600 ,1.471 
317,-417.703 ,-158.890 ,1.600 ,1.465 
318,40.559 ,-158.760 ,1.600 ,1.587 
319,-208.045 ,-158.438 ,1.600 ,1.475 
320,-247.226 ,-158.410 ,1.600 ,1.454 
321,18.593 ,-158.300 ,1.600 ,1.574 
322,-466.309 ,-158.121 ,1.600 ,1.473 
323,79.773 ,-157.986 ,1.600 ,1.623 
324,-401.292 ,-157.943 ,1.600 ,1.463 
325,156.267 ,-157.696 ,1.600 ,1.460 
326,-216.992 ,-157.638 ,1.600 ,1.471 
327,-328.441 ,-157.284 ,1.600 ,1.440 
328,-1.934 ,-157.223 ,1.600 ,1.566 
329,222.083 ,-157.083 ,1.600 ,1.466 
330,-446.230 ,-157.054 ,1.600 ,1.476 
331,-147.498 ,-156.663 ,1.600 ,1.534 
332,-48.619 ,-155.870 ,1.600 ,1.558 
333,-393.235 ,-155.772 ,1.600 ,1.464 
334,-366.840 ,-155.682 ,1.600 ,1.454 
335,-427.898 ,-154.936 ,1.600 ,1.463 
336,58.629 ,-154.868 ,1.600 ,1.591 
337,-340.000 ,-154.843 ,1.600 ,1.444 
338,-157.667 ,-154.798 ,1.600 ,1.507 
339,-300.237 ,-154.391 ,1.600 ,1.431 
340,-40.114 ,-153.646 ,1.600 ,1.537 
341,-475.625 ,-153.535 ,1.600 ,1.474 
342,-409.163 ,-152.536 ,1.600 ,1.458 
343,-280.026 ,-152.324 ,1.600 ,1.439 
344,-63.963 ,-152.080 ,1.600 ,1.530 
345,-225.882 ,-151.788 ,1.600 ,1.442 
346,66.154 ,-151.693 ,1.600 ,1.593 
347,45.795 ,-151.521 ,1.600 ,1.552 
348,39.988 ,-151.337 ,1.600 ,1.544 
349,-142.195 ,-151.303 ,1.600 ,1.511 
350,-457.708 ,-151.215 ,1.600 ,1.481 
351,-322.187 ,-151.099 ,1.600 ,1.440 
352,-376.193 ,-150.984 ,1.600 ,1.451 
353,142.704 ,-150.556 ,1.600 ,1.501 
354,-202.335 ,-150.322 ,1.600 ,1.453 
355,-359.552 ,-150.079 ,1.600 ,1.450 
356,-485.000 ,-150.000 ,1.600 ,1.493 
357,245.000 ,-150.000 ,1.600 ,1.544 
358,53.225 ,-149.927 ,1.600 ,1.543 
359,120.642 ,-149.504 ,1.600 ,1.627 
360,-333.929 ,-149.452 ,1.600 ,1.445 
361,-386.783 ,-149.229 ,1.600 ,1.452 
362,-114.406 ,-149.161 ,1.600 ,1.520 
363,-419.755 ,-149.081 ,1.600 ,1.467 
364,-466.856 ,-148.872 ,1.600 ,1.484 
365,169.750 ,-148.605 ,1.600 ,1.444 
366,136.504 ,-148.194 ,1.600 ,1.531 
367,-166.554 ,-147.983 ,1.600 ,1.472 
368,-87.353 ,-147.911 ,1.600 ,1.510 
369,-249.995 ,-147.809 ,1.600 ,1.431 
370,197.223 ,-147.747 ,1.600 ,1.448 
371,-367.096 ,-147.710 ,1.600 ,1.445 
372,228.358 ,-147.698 ,1.600 ,1.487 
373,-398.369 ,-147.681 ,1.600 ,1.454 
374,-293.294 ,-147.528 ,1.600 ,1.434 
375,-304.375 ,-147.356 ,1.600 ,1.436 
376,-28.895 ,-147.212 ,1.600 ,1.489 
377,-10.001 ,-146.620 ,1.600 ,1.478 
378,87.788 ,-146.534 ,1.600 ,1.649 
379,99.536 ,-146.313 ,1.600 ,1.697 
380,-82.785 ,-146.083 ,1.600 ,1.506 
381,-428.393 ,-146.051 ,1.600 ,1.484 
382,117.595 ,-146.037 ,1.600 ,1.653 
383,48.891 ,-145.833 ,1.600 ,1.481 
384,-125.884 ,-145.833 ,1.600 ,1.505 
385,-41.424 ,-145.833 ,1.600 ,1.491 
386,-72.979 ,-145.807 ,1.600 ,1.504 
387,-102.870 ,-145.762 ,1.600 ,1.514 
388,81.527 ,-145.705 ,1.600 ,1.609 
389,-52.712 ,-145.389 ,1.600 ,1.492 
390,112.117 ,-145.319 ,1.600 ,1.692 
391,-449.541 ,-145.239 ,1.600 ,1.493 
392,-141.072 ,-145.172 ,1.600 ,1.489 
393,14.325 ,-144.981 ,1.600 ,1.454 
394,-119.459 ,-144.959 ,1.600 ,1.511 
395,20.181 ,-144.934 ,1.600 ,1.450 
396,-110.019 ,-144.871 ,1.600 ,1.515 
397,177.497 ,-144.738 ,1.600 ,1.437 
398,-91.588 ,-144.485 ,1.600 ,1.510 
399,-156.970 ,-144.326 ,1.600 ,1.474 
400,214.908 ,-144.044 ,1.600 ,1.472 
401,-77.972 ,-143.762 ,1.600 ,1.507 
402,206.665 ,-143.752 ,1.600 ,1.457 
403,-472.917 ,-143.737 ,1.600 ,1.495 
404,-329.672 ,-143.536 ,1.600 ,1.454 
405,-58.600 ,-143.519 ,1.600 ,1.505 
406,9.131 ,-143.407 ,1.600 ,1.461 
407,236.771 ,-143.125 ,1.600 ,1.497 
408,-341.709 ,-142.660 ,1.600 ,1.453 
409,-114.803 ,-142.651 ,1.600 ,1.524 
410,128.121 ,-142.388 ,1.600 ,1.578 
411,-352.868 ,-142.376 ,1.600 ,1.455 
412,40.263 ,-142.361 ,1.600 ,1.441 
413,-32.502 ,-142.255 ,1.600 ,1.505 
414,-5.322 ,-141.997 ,1.600 ,1.480 
415,-196.392 ,-141.820 ,1.600 ,1.443 
416,28.645 ,-141.699 ,1.600 ,1.453 
417,-361.797 ,-141.456 ,1.600 ,1.452 
418,5.230 ,-141.444 ,1.600 ,1.478 
419,96.628 ,-141.330 ,1.600 ,1.673 
420,-46.602 ,-141.276 ,1.600 ,1.525 
421,-50.986 ,-141.214 ,1.600 ,1.528 
422,-82.406 ,-141.162 ,1.600 ,1.527 
423,-127.940 ,-141.052 ,1.600 ,1.525 
424,-68.791 ,-141.044 ,1.600 ,1.534 
425,-379.947 ,-140.963 ,1.600 ,1.456 
426,63.604 ,-140.784 ,1.600 ,1.480 
427,17.452 ,-140.674 ,1.600 ,1.479 
428,-461.802 ,-140.645 ,1.600 ,1.506 
429,44.633 ,-140.625 ,1.600 ,1.459 
430,-230.471 ,-140.504 ,1.600 ,1.420 
431,-442.862 ,-140.008 ,1.600 ,1.505 
432,-485.000 ,-140.000 ,1.600 ,1.522 
433,-118.043 ,-139.765 ,1.600 ,1.549 
434,32.761 ,-139.757 ,1.600 ,1.483 
435,68.413 ,-139.577 ,1.600 ,1.488 
436,-78.361 ,-139.138 ,1.600 ,1.553 
437,40.834 ,-138.972 ,1.600 ,1.480 
438,-433.396 ,-138.950 ,1.600 ,1.505 
439,228.750 ,-138.944 ,1.600 ,1.474 
440,196.042 ,-138.854 ,1.600 ,1.440 
441,124.826 ,-138.797 ,1.600 ,1.626 
442,-11.220 ,-138.716 ,1.600 ,1.543 
443,-36.057 ,-138.636 ,1.600 ,1.558 
444,25.834 ,-138.311 ,1.600 ,1.524 
445,-421.481 ,-138.269 ,1.600 ,1.495 
446,-64.400 ,-138.021 ,1.600 ,1.575 
447,138.481 ,-137.657 ,1.600 ,1.473 
448,3.590 ,-137.605 ,1.600 ,1.550 
449,-50.539 ,-137.587 ,1.600 ,1.580 
450,-164.003 ,-137.556 ,1.600 ,1.485 
451,-124.905 ,-137.513 ,1.600 ,1.574 
452,78.644 ,-137.378 ,1.600 ,1.543 
453,-128.926 ,-137.351 ,1.600 ,1.568 
454,-30.416 ,-137.349 ,1.600 ,1.572 
455,93.643 ,-137.157 ,1.600 ,1.667 
456,16.205 ,-137.153 ,1.600 ,1.564 
457,47.196 ,-137.056 ,1.600 ,1.533 
458,-13.347 ,-137.000 ,1.600 ,1.580 
459,-252.907 ,-136.930 ,1.600 ,1.422 
460,-400.662 ,-136.915 ,1.600 ,1.480 
461,-120.579 ,-136.888 ,1.600 ,1.588 
462,43.003 ,-136.685 ,1.600 ,1.549 
463,81.501 ,-136.630 ,1.600 ,1.594 
464,22.228 ,-136.429 ,1.600 ,1.576 
465,51.854 ,-136.285 ,1.600 ,1.550 
466,39.601 ,-136.082 ,1.600 ,1.571 
467,-131.854 ,-135.975 ,1.600 ,1.582 
468,-104.107 ,-135.940 ,1.600 ,1.602 
469,-87.142 ,-135.928 ,1.600 ,1.593 
470,-135.393 ,-135.885 ,1.600 ,1.573 
471,76.481 ,-135.834 ,1.600 ,1.596 
472,85.902 ,-135.815 ,1.600 ,1.647 
473,102.366 ,-135.815 ,1.600 ,1.753 
474,112.306 ,-135.634 ,1.600 ,1.770 
475,185.798 ,-135.573 ,1.600 ,1.427 
476,122.581 ,-135.418 ,1.600 ,1.673 
477,28.597 ,-135.417 ,1.600 ,1.597 
478,-336.771 ,-135.202 ,1.600 ,1.458 
479,-356.271 ,-135.150 ,1.600 ,1.467 
480,-34.851 ,-135.127 ,1.600 ,1.598 
481,90.001 ,-135.078 ,1.600 ,1.694 
482,119.085 ,-134.929 ,1.600 ,1.726 
483,-16.762 ,-134.915 ,1.600 ,1.603 
484,-473.461 ,-134.769 ,1.600 ,1.525 
485,-65.395 ,-134.706 ,1.600 ,1.613 
486,-59.856 ,-134.549 ,1.600 ,1.613 
487,44.611 ,-134.549 ,1.600 ,1.612 
488,-373.674 ,-134.134 ,1.600 ,1.480 
489,-73.624 ,-134.115 ,1.600 ,1.618 
490,142.656 ,-133.949 ,1.600 ,1.422 
491,-122.855 ,-133.673 ,1.600 ,1.637 
492,-450.397 ,-133.635 ,1.600 ,1.524 
493,92.771 ,-133.624 ,1.600 ,1.782 
